a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,class
bin2,bin1,bin3,bin2,bin1,bin4,bin2,bin4,bin2,bin2,bin2,bin4,bin4,bin1,bin1,bin1,bin1,bin1,bin0,bin3,bin3,1
bin1,bin3,bin1,bin3,bin4,bin3,bin4,bin2,bin3,bin3,bin1,bin0,bin0,bin2,bin0,bin0,bin1,bin3,bin0,bin1,bin1,0
bin3,bin2,bin0,bin3,bin0,bin2,bin0,bin0,bin0,bin0,bin0,bin3,bin4,bin4,bin4,bin4,bin3,bin4,bin4,bin4,bin3,2
bin2,bin0,bin2,bin1,bin1,bin0,bin0,bin1,bin0,bin0,bin0,bin3,bin3,bin4,bin4,bin3,bin4,bin3,bin4,bin2,bin3,2
bin0,bin1,bin4,bin4,bin4,bin4,bin4,bin3,bin4,bin3,bin2,bin0,bin0,bin1,bin0,bin0,bin0,bin1,bin0,bin3,bin2,1
bin0,bin1,bin1,bin2,bin2,bin1,bin0,bin0,bin0,bin1,bin2,bin2,bin4,bin2,bin4,bin3,bin4,bin4,bin4,bin4,bin3,2
bin3,bin3,bin3,bin4,bin4,bin4,bin3,bin4,bin3,bin4,bin2,bin3,bin3,bin0,bin0,bin2,bin1,bin0,bin0,bin1,bin4,1
bin2,bin2,bin1,bin2,bin0,bin1,bin0,bin0,bin0,bin0,bin0,bin0,bin3,bin4,bin4,bin3,bin4,bin4,bin2,bin4,bin4,0
bin2,bin2,bin3,bin4,bin4,bin4,bin4,bin2,bin4,bin2,bin0,bin1,bin0,bin1,bin1,bin1,bin1,bin2,bin2,bin2,bin2,0
bin4,bin1,bin4,bin3,bin2,bin4,bin3,bin2,bin3,bin2,bin2,bin0,bin2,bin0,bin2,bin2,bin3,bin1,bin3,bin3,bin4,0
bin3,bin2,bin4,bin1,bin3,bin4,bin3,bin4,bin2,bin4,bin3,bin0,bin0,bin2,bin2,bin0,bin1,bin1,bin1,bin1,bin2,1
bin4,bin2,bin0,bin3,bin3,bin1,bin3,bin2,bin1,bin1,bin3,bin2,bin0,bin1,bin3,bin1,bin1,bin1,bin3,bin0,bin4,0
bin1,bin1,bin1,bin1,bin2,bin1,bin1,bin2,bin1,bin3,bin4,bin4,bin4,bin2,bin3,bin0,bin2,bin1,bin2,bin0,bin3,1
bin2,bin4,bin0,bin2,bin3,bin4,bin3,bin2,bin1,bin3,bin0,bin1,bin2,bin2,bin2,bin2,bin4,bin2,bin4,bin3,bin2,0
bin4,bin3,bin1,bin2,bin1,bin1,bin2,bin1,bin0,bin1,bin2,bin4,bin4,bin3,bin4,bin4,bin3,bin3,bin2,bin4,bin2,2
bin3,bin3,bin0,bin0,bin0,bin1,bin0,bin0,bin0,bin0,bin3,bin3,bin4,bin3,bin4,bin4,bin4,bin3,bin4,bin3,bin4,2
bin2,bin0,bin4,bin3,bin1,bin4,bin4,bin4,bin3,bin2,bin4,bin1,bin3,bin0,bin1,bin1,bin0,bin1,bin1,bin0,bin3,1
bin1,bin0,bin4,bin0,bin1,bin1,bin0,bin1,bin0,bin1,bin1,bin1,bin3,bin4,bin4,bin4,bin4,bin4,bin4,bin0,bin2,2
bin2,bin0,bin2,bin1,bin1,bin3,bin0,bin1,bin0,bin2,bin2,bin2,bin4,bin4,bin3,bin3,bin2,bin4,bin2,bin4,bin0,2
bin4,bin1,bin1,bin1,bin1,bin0,bin0,bin0,bin0,bin0,bin3,bin3,bin2,bin3,bin4,bin2,bin4,bin4,bin1,bin4,bin4,2
bin2,bin4,bin1,bin1,bin2,bin0,bin1,bin1,bin2,bin2,bin2,bin4,bin3,bin4,bin2,bin3,bin1,bin3,bin2,bin3,bin0,2
bin4,bin1,bin1,bin1,bin0,bin0,bin1,bin0,bin0,bin0,bin1,bin4,bin4,bin4,bin4,bin4,bin4,bin2,bin4,bin1,bin1,2
bin1,bin0,bin3,bin3,bin1,bin1,bin0,bin1,bin0,bin2,bin0,bin0,bin0,bin2,bin4,bin4,bin4,bin2,bin3,bin3,bin0,0
bin0,bin1,bin3,bin4,bin4,bin4,bin4,bin4,bin4,bin1,bin1,bin0,bin2,bin1,bin0,bin0,bin1,bin0,bin3,bin3,bin4,1
bin4,bin1,bin1,bin1,bin0,bin0,bin1,bin0,bin0,bin1,bin1,bin3,bin2,bin4,bin4,bin4,bin4,bin4,bin3,bin2,bin1,2
bin0,bin0,bin0,bin1,bin3,bin2,bin2,bin1,bin3,bin2,bin2,bin4,bin1,bin3,bin2,bin1,bin0,bin0,bin1,bin0,bin3,1
bin1,bin0,bin2,bin1,bin0,bin3,bin2,bin4,bin3,bin3,bin3,bin4,bin4,bin3,bin1,bin2,bin1,bin0,bin0,bin0,bin4,2
bin1,bin0,bin2,bin2,bin1,bin1,bin0,bin0,bin2,bin3,bin1,bin3,bin4,bin4,bin4,bin4,bin3,bin2,bin3,bin4,bin1,2
bin2,bin4,bin0,bin3,bin0,bin2,bin1,bin1,bin2,bin3,bin3,bin3,bin4,bin3,bin2,bin2,bin3,bin2,bin3,bin1,bin2,2
bin2,bin3,bin0,bin0,bin2,bin0,bin0,bin1,bin0,bin3,bin3,bin4,bin4,bin3,bin4,bin3,bin3,bin3,bin4,bin3,bin0,2
bin4,bin4,bin4,bin2,bin2,bin3,bin4,bin3,bin4,bin3,bin4,bin3,bin2,bin0,bin0,bin2,bin0,bin3,bin0,bin0,bin0,1
bin0,bin3,bin1,bin0,bin1,bin1,bin0,bin0,bin1,bin0,bin3,bin1,bin2,bin4,bin4,bin4,bin4,bin4,bin3,bin3,bin2,2
bin1,bin2,bin2,bin4,bin4,bin3,bin4,bin4,bin4,bin4,bin1,bin2,bin0,bin0,bin0,bin1,bin0,bin0,bin2,bin0,bin1,1
bin0,bin4,bin4,bin4,bin2,bin2,bin2,bin4,bin4,bin4,bin2,bin3,bin1,bin0,bin2,bin0,bin0,bin1,bin3,bin0,bin0,1
bin1,bin1,bin4,bin4,bin4,bin2,bin4,bin4,bin1,bin1,bin1,bin1,bin1,bin2,bin0,bin1,bin2,bin3,bin3,bin2,bin4,0
bin1,bin0,bin1,bin3,bin1,bin0,bin0,bin2,bin2,bin1,bin2,bin1,bin4,bin3,bin3,bin4,bin3,bin4,bin4,bin2,bin4,2
bin0,bin2,bin3,bin3,bin3,bin3,bin3,bin4,bin3,bin3,bin3,bin1,bin1,bin1,bin0,bin0,bin1,bin0,bin0,bin1,bin0,1
bin0,bin0,bin4,bin2,bin3,bin3,bin4,bin3,bin4,bin4,bin3,bin1,bin3,bin1,bin1,bin2,bin2,bin0,bin1,bin1,bin0,1
bin0,bin2,bin1,bin3,bin4,bin3,bin3,bin3,bin2,bin1,bin0,bin1,bin1,bin1,bin2,bin3,bin3,bin1,bin2,bin2,bin4,0
bin3,bin3,bin3,bin4,bin3,bin4,bin3,bin3,bin4,bin3,bin1,bin2,bin0,bin1,bin2,bin1,bin1,bin1,bin2,bin0,bin2,1
bin3,bin0,bin1,bin1,bin1,bin0,bin0,bin0,bin0,bin0,bin0,bin1,bin2,bin3,bin4,bin4,bin3,bin3,bin4,bin2,bin3,0
bin2,bin4,bin4,bin4,bin4,bin3,bin3,bin2,bin2,bin2,bin0,bin0,bin0,bin1,bin0,bin2,bin3,bin2,bin4,bin2,bin1,0
bin3,bin1,bin2,bin4,bin4,bin4,bin4,bin4,bin1,bin4,bin0,bin1,bin1,bin0,bin0,bin1,bin3,bin1,bin0,bin1,bin4,1
bin0,bin1,bin2,bin4,bin4,bin2,bin4,bin3,bin3,bin3,bin2,bin0,bin2,bin0,bin1,bin1,bin0,bin2,bin1,bin0,bin1,1
bin1,bin1,bin0,bin1,bin1,bin2,bin0,bin0,bin1,bin2,bin1,bin1,bin3,bin4,bin3,bin4,bin4,bin4,bin4,bin0,bin1,0
bin2,bin1,bin2,bin1,bin2,bin0,bin0,bin1,bin3,bin0,bin0,bin1,bin4,bin3,bin4,bin4,bin4,bin1,bin4,bin1,bin2,0
bin4,bin0,bin0,bin1,bin1,bin0,bin1,bin1,bin1,bin4,bin3,bin4,bin3,bin3,bin3,bin3,bin0,bin1,bin0,bin2,bin0,2
bin1,bin0,bin1,bin3,bin2,bin1,bin0,bin2,bin3,bin1,bin1,bin3,bin2,bin1,bin3,bin4,bin4,bin4,bin3,bin4,bin2,0
bin0,bin1,bin1,bin0,bin1,bin3,bin2,bin2,bin4,bin3,bin3,bin4,bin3,bin2,bin2,bin0,bin2,bin1,bin2,bin1,bin0,1
bin2,bin4,bin3,bin4,bin4,bin2,bin4,bin4,bin3,bin3,bin4,bin3,bin2,bin0,bin0,bin0,bin2,bin0,bin1,bin1,bin3,1
bin1,bin0,bin4,bin2,bin4,bin4,bin4,bin3,bin1,bin3,bin2,bin2,bin0,bin0,bin0,bin1,bin0,bin2,bin0,bin4,bin1,1
bin3,bin4,bin2,bin4,bin4,bin2,bin4,bin4,bin2,bin4,bin2,bin1,bin0,bin0,bin0,bin0,bin0,bin1,bin0,bin3,bin2,1
bin4,bin1,bin3,bin3,bin3,bin4,bin3,bin4,bin4,bin3,bin1,bin1,bin0,bin0,bin1,bin1,bin0,bin1,bin2,bin0,bin0,1
bin0,bin0,bin0,bin3,bin2,bin0,bin1,bin0,bin0,bin0,bin0,bin4,bin3,bin4,bin4,bin4,bin4,bin4,bin2,bin2,bin3,2
bin1,bin3,bin4,bin4,bin4,bin3,bin3,bin2,bin1,bin1,bin2,bin0,bin0,bin1,bin0,bin3,bin3,bin0,bin1,bin0,bin1,0
bin3,bin1,bin0,bin1,bin2,bin1,bin0,bin0,bin0,bin3,bin3,bin4,bin4,bin4,bin4,bin3,bin3,bin4,bin3,bin0,bin1,2
bin0,bin2,bin4,bin4,bin4,bin4,bin3,bin1,bin3,bin3,bin1,bin2,bin0,bin0,bin2,bin0,bin2,bin1,bin2,bin0,bin0,0
bin0,bin2,bin1,bin0,bin0,bin1,bin1,bin2,bin3,bin2,bin3,bin3,bin4,bin3,bin3,bin2,bin2,bin2,bin2,bin3,bin0,2
bin2,bin2,bin2,bin2,bin2,bin1,bin1,bin2,bin0,bin1,bin1,bin3,bin1,bin3,bin3,bin4,bin3,bin2,bin4,bin3,bin0,0
bin4,bin4,bin2,bin3,bin1,bin2,bin2,bin0,bin0,bin0,bin0,bin2,bin2,bin3,bin3,bin4,bin4,bin3,bin3,bin1,bin4,0
bin4,bin2,bin1,bin0,bin1,bin0,bin0,bin1,bin1,bin1,bin1,bin3,bin3,bin3,bin3,bin4,bin3,bin2,bin2,bin1,bin2,2
bin4,bin3,bin2,bin2,bin1,bin2,bin0,bin2,bin1,bin1,bin0,bin1,bin1,bin4,bin4,bin3,bin3,bin4,bin3,bin0,bin1,0
bin3,bin1,bin3,bin3,bin3,bin3,bin3,bin4,bin4,bin4,bin2,bin3,bin1,bin1,bin1,bin2,bin1,bin2,bin0,bin1,bin1,1
bin3,bin0,bin2,bin2,bin1,bin2,bin0,bin0,bin1,bin1,bin0,bin3,bin1,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin2,2
bin0,bin3,bin4,bin3,bin3,bin4,bin4,bin4,bin4,bin1,bin0,bin0,bin1,bin0,bin1,bin1,bin0,bin1,bin0,bin3,bin3,1
bin1,bin1,bin2,bin4,bin4,bin4,bin4,bin4,bin4,bin2,bin1,bin1,bin0,bin1,bin1,bin1,bin2,bin1,bin0,bin2,bin3,1
bin1,bin4,bin3,bin0,bin1,bin3,bin1,bin1,bin2,bin1,bin0,bin2,bin3,bin4,bin3,bin4,bin4,bin0,bin1,bin3,bin0,0
bin4,bin2,bin2,bin4,bin4,bin2,bin4,bin3,bin4,bin3,bin2,bin2,bin1,bin0,bin1,bin0,bin0,bin1,bin0,bin1,bin2,1
bin4,bin1,bin1,bin3,bin3,bin4,bin4,bin2,bin3,bin2,bin1,bin1,bin2,bin0,bin0,bin0,bin2,bin1,bin3,bin0,bin1,1
bin4,bin0,bin1,bin3,bin2,bin2,bin3,bin1,bin4,bin3,bin4,bin4,bin2,bin4,bin1,bin2,bin2,bin1,bin0,bin3,bin2,2
bin1,bin4,bin1,bin1,bin2,bin1,bin3,bin1,bin1,bin1,bin1,bin0,bin1,bin1,bin2,bin3,bin2,bin3,bin4,bin4,bin2,0
bin4,bin3,bin4,bin0,bin2,bin2,bin2,bin2,bin4,bin4,bin4,bin4,bin3,bin1,bin1,bin0,bin0,bin0,bin1,bin1,bin2,1
bin1,bin3,bin2,bin3,bin2,bin3,bin4,bin3,bin4,bin4,bin2,bin1,bin1,bin3,bin2,bin0,bin0,bin2,bin2,bin0,bin4,1
bin2,bin1,bin0,bin3,bin4,bin3,bin2,bin1,bin2,bin4,bin4,bin4,bin4,bin3,bin2,bin0,bin1,bin0,bin0,bin4,bin2,1
bin3,bin1,bin1,bin2,bin1,bin0,bin3,bin2,bin3,bin4,bin4,bin4,bin4,bin1,bin1,bin2,bin0,bin1,bin4,bin1,bin1,2
bin0,bin0,bin4,bin1,bin2,bin2,bin1,bin1,bin0,bin1,bin2,bin0,bin1,bin3,bin3,bin4,bin3,bin1,bin2,bin1,bin3,0
bin3,bin4,bin0,bin0,bin1,bin1,bin1,bin2,bin3,bin3,bin3,bin3,bin4,bin1,bin3,bin1,bin1,bin0,bin0,bin0,bin1,1
bin1,bin0,bin1,bin2,bin3,bin4,bin2,bin3,bin4,bin2,bin3,bin1,bin2,bin0,bin0,bin0,bin1,bin0,bin0,bin0,bin3,1
bin0,bin1,bin3,bin3,bin3,bin3,bin2,bin3,bin1,bin1,bin0,bin0,bin2,bin2,bin3,bin3,bin4,bin3,bin3,bin4,bin3,0
bin1,bin3,bin1,bin2,bin0,bin0,bin1,bin0,bin1,bin2,bin4,bin4,bin2,bin4,bin3,bin3,bin4,bin4,bin2,bin1,bin2,2
bin2,bin3,bin3,bin0,bin1,bin0,bin0,bin0,bin1,bin0,bin2,bin4,bin4,bin4,bin3,bin3,bin4,bin2,bin4,bin3,bin1,2
bin4,bin4,bin0,bin0,bin2,bin0,bin0,bin1,bin1,bin0,bin1,bin1,bin3,bin2,bin4,bin4,bin3,bin4,bin4,bin3,bin1,2
bin2,bin4,bin4,bin2,bin4,bin4,bin4,bin4,bin3,bin1,bin2,bin0,bin0,bin0,bin0,bin0,bin2,bin2,bin1,bin2,bin4,0
bin4,bin4,bin1,bin0,bin3,bin0,bin1,bin0,bin2,bin3,bin3,bin2,bin2,bin4,bin3,bin4,bin3,bin4,bin0,bin4,bin0,2
bin3,bin2,bin2,bin0,bin2,bin0,bin0,bin1,bin2,bin1,bin0,bin0,bin4,bin4,bin4,bin4,bin4,bin3,bin1,bin4,bin2,0
bin0,bin1,bin0,bin1,bin0,bin2,bin2,bin1,bin0,bin3,bin2,bin3,bin3,bin2,bin2,bin4,bin4,bin2,bin0,bin0,bin3,2
bin3,bin1,bin2,bin4,bin3,bin3,bin1,bin2,bin0,bin2,bin1,bin2,bin1,bin0,bin1,bin1,bin1,bin2,bin3,bin0,bin4,0
bin3,bin3,bin0,bin0,bin0,bin0,bin0,bin0,bin0,bin0,bin0,bin2,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin2,2
bin3,bin3,bin0,bin2,bin0,bin1,bin0,bin3,bin4,bin1,bin2,bin3,bin3,bin3,bin2,bin2,bin2,bin1,bin3,bin2,bin0,2
bin3,bin2,bin3,bin1,bin4,bin1,bin0,bin2,bin0,bin2,bin2,bin0,bin0,bin3,bin2,bin4,bin4,bin1,bin4,bin1,bin1,0
bin0,bin1,bin3,bin4,bin3,bin4,bin4,bin4,bin2,bin3,bin3,bin3,bin0,bin1,bin0,bin0,bin0,bin2,bin0,bin3,bin2,1
bin3,bin4,bin3,bin3,bin4,bin4,bin3,bin3,bin2,bin2,bin1,bin1,bin1,bin0,bin2,bin0,bin2,bin0,bin3,bin2,bin2,0
bin3,bin4,bin4,bin0,bin1,bin2,bin1,bin2,bin0,bin0,bin0,bin0,bin4,bin4,bin3,bin3,bin3,bin4,bin4,bin4,bin0,0
bin0,bin2,bin1,bin1,bin2,bin2,bin2,bin3,bin3,bin1,bin4,bin3,bin2,bin0,bin0,bin0,bin0,bin1,bin2,bin0,bin2,1
bin4,bin3,bin0,bin0,bin0,bin0,bin0,bin0,bin0,bin1,bin0,bin3,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin3,0
bin2,bin3,bin0,bin0,bin0,bin2,bin1,bin1,bin0,bin3,bin2,bin1,bin2,bin4,bin3,bin3,bin3,bin3,bin3,bin0,bin3,2
bin2,bin3,bin4,bin0,bin0,bin1,bin1,bin1,bin1,bin2,bin3,bin4,bin4,bin3,bin1,bin0,bin2,bin3,bin4,bin2,bin2,2
bin4,bin0,bin1,bin2,bin3,bin2,bin2,bin3,bin4,bin4,bin4,bin3,bin3,bin2,bin0,bin0,bin1,bin0,bin2,bin2,bin4,1
bin3,bin2,bin2,bin1,bin0,bin2,bin2,bin3,bin4,bin2,bin4,bin3,bin3,bin1,bin1,bin0,bin1,bin0,bin1,bin3,bin2,1
bin2,bin1,bin3,bin2,bin1,bin0,bin1,bin0,bin0,bin1,bin1,bin3,bin3,bin3,bin4,bin4,bin4,bin3,bin4,bin4,bin4,2
bin4,bin2,bin1,bin0,bin0,bin0,bin0,bin1,bin1,bin0,bin0,bin3,bin1,bin4,bin4,bin4,bin4,bin4,bin3,bin3,bin3,2
bin2,bin4,bin2,bin2,bin1,bin0,bin1,bin1,bin3,bin2,bin2,bin4,bin3,bin1,bin3,bin2,bin1,bin0,bin1,bin1,bin3,2
bin2,bin0,bin3,bin3,bin2,bin3,bin2,bin2,bin4,bin4,bin1,bin3,bin0,bin1,bin0,bin0,bin1,bin2,bin3,bin1,bin3,1
bin1,bin3,bin4,bin1,bin1,bin2,bin2,bin1,bin1,bin0,bin1,bin0,bin2,bin4,bin4,bin4,bin4,bin4,bin2,bin4,bin1,0
bin0,bin2,bin4,bin4,bin4,bin4,bin4,bin2,bin3,bin1,bin1,bin2,bin0,bin0,bin0,bin0,bin0,bin1,bin2,bin3,bin0,1
bin3,bin1,bin4,bin3,bin0,bin1,bin0,bin1,bin0,bin2,bin2,bin2,bin3,bin3,bin4,bin4,bin4,bin2,bin2,bin2,bin4,2
bin3,bin0,bin1,bin1,bin3,bin1,bin3,bin2,bin3,bin4,bin4,bin2,bin1,bin2,bin2,bin0,bin1,bin4,bin0,bin2,bin0,1
bin3,bin3,bin4,bin1,bin4,bin4,bin4,bin4,bin3,bin2,bin0,bin1,bin1,bin1,bin0,bin2,bin1,bin2,bin0,bin0,bin2,1
bin2,bin2,bin2,bin2,bin3,bin3,bin3,bin4,bin1,bin2,bin2,bin1,bin2,bin3,bin3,bin3,bin3,bin4,bin4,bin4,bin1,0
bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin2,bin1,bin1,bin0,bin0,bin1,bin1,bin1,bin0,bin0,bin1,bin1,bin4,0
bin4,bin0,bin1,bin0,bin2,bin1,bin0,bin1,bin0,bin1,bin2,bin2,bin3,bin4,bin3,bin4,bin4,bin3,bin3,bin3,bin1,2
bin1,bin2,bin1,bin0,bin0,bin1,bin3,bin2,bin4,bin4,bin4,bin4,bin2,bin2,bin2,bin1,bin0,bin0,bin1,bin1,bin2,2
bin4,bin4,bin4,bin4,bin3,bin4,bin2,bin4,bin0,bin0,bin2,bin1,bin0,bin2,bin2,bin2,bin1,bin2,bin1,bin2,bin2,0
bin3,bin2,bin0,bin2,bin1,bin2,bin0,bin0,bin0,bin2,bin1,bin0,bin3,bin2,bin3,bin4,bin3,bin4,bin3,bin2,bin0,2
bin1,bin3,bin0,bin4,bin1,bin3,bin3,bin2,bin3,bin3,bin2,bin1,bin2,bin2,bin0,bin0,bin1,bin0,bin4,bin0,bin0,1
bin4,bin2,bin2,bin1,bin2,bin1,bin0,bin0,bin0,bin1,bin1,bin4,bin4,bin3,bin4,bin3,bin2,bin3,bin2,bin3,bin3,2
bin4,bin4,bin3,bin4,bin4,bin3,bin4,bin4,bin3,bin0,bin0,bin0,bin2,bin0,bin0,bin0,bin1,bin4,bin1,bin2,bin4,1
bin1,bin2,bin2,bin3,bin0,bin0,bin2,bin1,bin1,bin1,bin3,bin4,bin3,bin3,bin1,bin3,bin3,bin4,bin3,bin0,bin0,2
bin3,bin2,bin3,bin2,bin3,bin4,bin3,bin4,bin1,bin3,bin3,bin0,bin0,bin0,bin2,bin2,bin2,bin0,bin2,bin0,bin4,0
bin1,bin1,bin1,bin0,bin0,bin1,bin1,bin3,bin4,bin3,bin4,bin2,bin2,bin2,bin0,bin1,bin1,bin0,bin1,bin0,bin1,1
bin1,bin1,bin1,bin0,bin2,bin3,bin2,bin4,bin3,bin3,bin4,bin4,bin2,bin2,bin2,bin2,bin1,bin0,bin0,bin2,bin3,1
bin3,bin4,bin4,bin1,bin3,bin3,bin2,bin1,bin2,bin0,bin3,bin1,bin2,bin2,bin2,bin3,bin4,bin4,bin3,bin3,bin0,0
bin1,bin0,bin0,bin2,bin0,bin0,bin1,bin1,bin1,bin3,bin2,bin2,bin4,bin4,bin2,bin4,bin3,bin1,bin3,bin4,bin4,2
bin2,bin4,bin3,bin2,bin3,bin3,bin2,bin1,bin2,bin0,bin0,bin2,bin0,bin3,bin2,bin3,bin3,bin3,bin4,bin0,bin1,0
bin0,bin2,bin3,bin2,bin2,bin1,bin2,bin3,bin2,bin4,bin4,bin4,bin3,bin2,bin1,bin0,bin0,bin1,bin0,bin0,bin3,1
bin2,bin0,bin1,bin1,bin0,bin2,bin2,bin2,bin2,bin2,bin4,bin4,bin3,bin4,bin2,bin2,bin3,bin1,bin0,bin1,bin0,2
bin4,bin1,bin4,bin4,bin3,bin3,bin3,bin2,bin3,bin2,bin0,bin3,bin1,bin1,bin2,bin2,bin3,bin0,bin0,bin2,bin2,0
bin0,bin3,bin2,bin4,bin2,bin4,bin3,bin2,bin1,bin2,bin0,bin0,bin0,bin1,bin0,bin2,bin1,bin2,bin3,bin4,bin3,0
bin0,bin1,bin2,bin3,bin1,bin2,bin3,bin0,bin0,bin1,bin1,bin2,bin1,bin3,bin4,bin4,bin4,bin4,bin3,bin4,bin4,0
bin3,bin4,bin4,bin1,bin3,bin1,bin2,bin0,bin0,bin1,bin0,bin2,bin2,bin3,bin4,bin4,bin4,bin3,bin4,bin4,bin4,0
bin2,bin4,bin1,bin2,bin4,bin2,bin3,bin4,bin3,bin1,bin2,bin3,bin0,bin1,bin2,bin0,bin1,bin2,bin0,bin4,bin1,1
bin1,bin4,bin0,bin2,bin3,bin3,bin1,bin2,bin2,bin0,bin2,bin1,bin2,bin3,bin2,bin1,bin3,bin2,bin1,bin0,bin4,0
bin2,bin2,bin3,bin4,bin4,bin4,bin3,bin4,bin4,bin2,bin0,bin0,bin0,bin1,bin0,bin2,bin1,bin3,bin0,bin0,bin1,0
bin2,bin3,bin4,bin0,bin2,bin0,bin1,bin1,bin2,bin4,bin3,bin3,bin4,bin4,bin4,bin2,bin2,bin4,bin3,bin2,bin2,2
bin4,bin3,bin2,bin0,bin1,bin2,bin0,bin0,bin0,bin0,bin0,bin0,bin3,bin3,bin4,bin4,bin4,bin2,bin4,bin3,bin1,0
bin2,bin1,bin2,bin2,bin1,bin1,bin3,bin3,bin3,bin4,bin3,bin4,bin3,bin1,bin1,bin1,bin1,bin2,bin1,bin0,bin0,1
bin1,bin3,bin2,bin2,bin3,bin2,bin1,bin1,bin0,bin1,bin3,bin2,bin2,bin4,bin2,bin2,bin2,bin3,bin3,bin1,bin1,0
bin3,bin0,bin1,bin2,bin0,bin2,bin1,bin1,bin3,bin1,bin4,bin2,bin2,bin1,bin3,bin2,bin1,bin2,bin0,bin1,bin4,2
bin1,bin4,bin2,bin3,bin3,bin3,bin3,bin3,bin2,bin3,bin2,bin1,bin0,bin0,bin1,bin1,bin2,bin2,bin1,bin1,bin4,0
bin0,bin2,bin1,bin2,bin3,bin2,bin2,bin3,bin4,bin4,bin4,bin2,bin2,bin3,bin1,bin0,bin0,bin2,bin1,bin1,bin0,1
bin2,bin0,bin3,bin3,bin3,bin2,bin3,bin2,bin2,bin3,bin0,bin3,bin0,bin1,bin3,bin3,bin2,bin1,bin3,bin0,bin2,0
bin0,bin2,bin4,bin4,bin4,bin4,bin4,bin4,bin2,bin1,bin1,bin0,bin0,bin0,bin0,bin0,bin2,bin2,bin1,bin0,bin0,1
bin4,bin0,bin3,bin2,bin3,bin4,bin4,bin4,bin2,bin4,bin3,bin2,bin2,bin1,bin0,bin1,bin2,bin1,bin0,bin0,bin0,1
bin0,bin1,bin2,bin1,bin0,bin0,bin2,bin0,bin0,bin0,bin1,bin1,bin3,bin4,bin4,bin4,bin4,bin3,bin3,bin3,bin3,2
bin3,bin2,bin1,bin2,bin4,bin2,bin3,bin4,bin4,bin3,bin4,bin1,bin0,bin0,bin1,bin2,bin1,bin2,bin1,bin3,bin0,1
bin1,bin1,bin1,bin3,bin0,bin1,bin0,bin1,bin0,bin1,bin0,bin1,bin2,bin3,bin3,bin4,bin4,bin4,bin1,bin2,bin4,2
bin1,bin1,bin0,bin0,bin1,bin0,bin1,bin2,bin2,bin3,bin2,bin4,bin4,bin3,bin1,bin0,bin3,bin0,bin3,bin3,bin3,2
bin1,bin0,bin1,bin2,bin2,bin2,bin0,bin1,bin0,bin0,bin0,bin2,bin3,bin4,bin4,bin4,bin4,bin4,bin2,bin1,bin0,0
bin3,bin0,bin4,bin1,bin1,bin3,bin3,bin3,bin3,bin4,bin3,bin2,bin4,bin1,bin2,bin0,bin0,bin0,bin1,bin0,bin0,1
bin2,bin2,bin4,bin0,bin4,bin4,bin4,bin3,bin4,bin4,bin2,bin0,bin1,bin2,bin1,bin1,bin0,bin2,bin0,bin2,bin3,1
bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin3,bin4,bin4,bin1,bin3,bin0,bin0,bin0,bin0,bin1,bin0,bin3,bin0,bin1,1
bin1,bin3,bin4,bin4,bin2,bin3,bin2,bin4,bin3,bin3,bin3,bin0,bin1,bin1,bin1,bin1,bin0,bin2,bin2,bin3,bin1,1
bin3,bin3,bin1,bin3,bin3,bin3,bin2,bin4,bin4,bin3,bin2,bin2,bin2,bin2,bin2,bin0,bin0,bin2,bin0,bin1,bin2,1
bin3,bin2,bin3,bin2,bin0,bin4,bin3,bin4,bin4,bin4,bin3,bin1,bin3,bin1,bin1,bin0,bin1,bin3,bin0,bin0,bin3,1
bin2,bin4,bin0,bin2,bin2,bin3,bin3,bin3,bin2,bin4,bin4,bin4,bin2,bin4,bin1,bin0,bin0,bin0,bin0,bin0,bin0,1
bin1,bin4,bin1,bin0,bin1,bin0,bin0,bin0,bin0,bin1,bin2,bin0,bin4,bin4,bin4,bin4,bin3,bin4,bin3,bin4,bin1,2
bin1,bin3,bin3,bin3,bin3,bin4,bin3,bin4,bin4,bin1,bin0,bin0,bin1,bin0,bin2,bin1,bin0,bin1,bin2,bin0,bin3,0
bin1,bin0,bin3,bin3,bin2,bin2,bin3,bin1,bin4,bin4,bin2,bin2,bin2,bin2,bin1,bin0,bin0,bin1,bin0,bin3,bin4,1
bin3,bin3,bin0,bin1,bin3,bin1,bin0,bin0,bin0,bin0,bin1,bin1,bin3,bin3,bin3,bin3,bin4,bin4,bin3,bin1,bin3,0
bin1,bin0,bin1,bin1,bin0,bin0,bin0,bin0,bin0,bin1,bin2,bin4,bin3,bin4,bin4,bin3,bin4,bin3,bin3,bin4,bin2,2
bin2,bin4,bin4,bin4,bin3,bin4,bin4,bin4,bin3,bin1,bin1,bin0,bin0,bin0,bin1,bin2,bin0,bin1,bin4,bin1,bin0,0
bin0,bin4,bin0,bin2,bin1,bin0,bin1,bin2,bin4,bin3,bin4,bin4,bin2,bin2,bin2,bin3,bin1,bin3,bin3,bin4,bin3,2
