a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,class
bin3,bin1,bin1,bin4,bin4,bin0,bin3,bin1,bin3,bin1,bin3,bin3,bin1,bin2,bin2,bin3,bin4,bin2,bus
bin2,bin1,bin2,bin3,bin4,bin0,bin3,bin1,bin2,bin1,bin2,bin3,bin1,bin1,bin1,bin4,bin4,bin4,bus
bin3,bin2,bin2,bin2,bin2,bin1,bin2,bin2,bin2,bin2,bin2,bin2,bin3,bin1,bin4,bin2,bin2,bin2,opel
bin3,bin3,bin4,bin4,bin4,bin3,bin4,bin0,bin3,bin3,bin4,bin4,bin4,bin2,bin2,bin4,bin1,bin1,opel
bin1,bin0,bin2,bin2,bin3,bin2,bin2,bin2,bin1,bin0,bin2,bin2,bin0,bin0,bin0,bin3,bin3,bin2,opel
bin3,bin3,bin3,bin3,bin2,bin2,bin3,bin1,bin3,bin3,bin3,bin3,bin3,bin0,bin4,bin2,bin4,bin4,opel
bin1,bin1,bin2,bin2,bin4,bin3,bin1,bin3,bin1,bin1,bin1,bin1,bin1,bin1,bin0,bin2,bin2,bin3,van
bin2,bin1,bin2,bin1,bin1,bin1,bin1,bin2,bin1,bin1,bin1,bin1,bin2,bin1,bin4,bin0,bin2,bin1,saab
bin4,bin4,bin3,bin3,bin1,bin1,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin4,bin1,bin0,bin1,bin0,bus
bin2,bin0,bin3,bin2,bin2,bin1,bin2,bin2,bin2,bin0,bin2,bin2,bin0,bin1,bin3,bin3,bin2,bin2,saab
bin0,bin1,bin0,bin0,bin0,bin1,bin1,bin2,bin1,bin1,bin2,bin1,bin2,bin4,bin2,bin2,bin0,bin0,bus
bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin2,bin4,bin2,bin2,bin2,saab
bin0,bin2,bin1,bin1,bin3,bin1,bin2,bin2,bin1,bin2,bin2,bin2,bin2,bin4,bin0,bin3,bin0,bin0,bus
bin0,bin2,bin1,bin0,bin0,bin1,bin2,bin2,bin1,bin2,bin1,bin2,bin3,bin4,bin1,bin2,bin0,bin0,bus
bin0,bin2,bin1,bin0,bin2,bin1,bin1,bin3,bin1,bin1,bin1,bin1,bin3,bin4,bin2,bin3,bin0,bin0,bus
bin2,bin3,bin2,bin2,bin3,bin4,bin2,bin2,bin2,bin3,bin1,bin2,bin2,bin3,bin2,bin3,bin0,bin1,van
bin1,bin0,bin1,bin2,bin2,bin2,bin2,bin2,bin1,bin0,bin2,bin2,bin0,bin0,bin2,bin3,bin4,bin4,saab
bin4,bin4,bin4,bin2,bin0,bin4,bin4,bin0,bin4,bin4,bin4,bin4,bin3,bin1,bin4,bin1,bin2,bin2,opel
bin4,bin4,bin3,bin3,bin2,bin4,bin4,bin0,bin3,bin4,bin3,bin4,bin4,bin2,bin3,bin2,bin1,bin1,opel
bin1,bin1,bin0,bin0,bin1,bin1,bin0,bin4,bin0,bin1,bin0,bin0,bin1,bin0,bin2,bin0,bin4,bin4,van
bin1,bin3,bin2,bin1,bin2,bin2,bin1,bin3,bin1,bin3,bin1,bin1,bin2,bin2,bin0,bin1,bin2,bin2,van
bin2,bin2,bin2,bin2,bin3,bin2,bin2,bin2,bin2,bin2,bin2,bin2,bin2,bin0,bin0,bin2,bin3,bin2,opel
bin0,bin1,bin0,bin0,bin0,bin1,bin1,bin3,bin1,bin2,bin1,bin1,bin2,bin4,bin0,bin1,bin0,bin0,bus
bin0,bin2,bin1,bin1,bin3,bin2,bin1,bin3,bin1,bin2,bin1,bin1,bin3,bin3,bin2,bin1,bin0,bin0,bus
bin3,bin4,bin3,bin2,bin0,bin4,bin4,bin0,bin3,bin4,bin3,bin4,bin4,bin3,bin0,bin0,bin1,bin1,opel
bin2,bin0,bin3,bin3,bin2,bin2,bin3,bin1,bin3,bin1,bin3,bin3,bin0,bin0,bin1,bin4,bin4,bin4,opel
bin0,bin0,bin1,bin1,bin2,bin2,bin0,bin4,bin0,bin0,bin0,bin0,bin0,bin2,bin0,bin1,bin2,bin1,van
bin1,bin1,bin1,bin2,bin4,bin1,bin1,bin2,bin1,bin1,bin2,bin1,bin1,bin2,bin1,bin3,bin3,bin2,bus
bin4,bin3,bin3,bin2,bin0,bin0,bin4,bin0,bin3,bin3,bin4,bin4,bin3,bin4,bin0,bin4,bin2,bin1,bus
bin1,bin0,bin1,bin1,bin0,bin1,bin0,bin4,bin0,bin0,bin0,bin0,bin0,bin2,bin0,bin0,bin1,bin1,opel
bin1,bin0,bin3,bin2,bin2,bin1,bin2,bin2,bin2,bin0,bin3,bin2,bin1,bin3,bin0,bin4,bin1,bin1,opel
bin0,bin2,bin2,bin1,bin1,bin0,bin1,bin2,bin1,bin1,bin2,bin2,bin2,bin3,bin3,bin0,bin0,bin0,saab
bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin2,bin1,bin0,bin1,bin2,opel
bin0,bin2,bin0,bin1,bin2,bin2,bin1,bin3,bin1,bin1,bin1,bin1,bin2,bin3,bin0,bin0,bin1,bin1,bus
bin0,bin0,bin0,bin0,bin0,bin0,bin0,bin4,bin0,bin1,bin0,bin0,bin1,bin0,bin4,bin1,bin4,bin3,van
bin3,bin4,bin3,bin4,bin2,bin4,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin2,bin0,bin0,bin1,bin2,opel
bin1,bin2,bin2,bin1,bin0,bin4,bin2,bin2,bin2,bin3,bin2,bin2,bin2,bin3,bin2,bin3,bin1,bin1,van
bin3,bin3,bin2,bin3,bin4,bin0,bin3,bin1,bin3,bin3,bin3,bin3,bin3,bin3,bin2,bin0,bin4,bin2,bus
bin0,bin2,bin1,bin1,bin2,bin0,bin2,bin2,bin1,bin2,bin2,bin2,bin2,bin4,bin0,bin3,bin0,bin0,bus
bin0,bin1,bin0,bin0,bin0,bin0,bin0,bin4,bin0,bin1,bin0,bin0,bin1,bin3,bin2,bin2,bin0,bin1,saab
bin2,bin1,bin2,bin2,bin2,bin2,bin1,bin3,bin1,bin2,bin1,bin1,bin0,bin0,bin1,bin1,bin3,bin4,van
bin4,bin4,bin3,bin4,bin3,bin4,bin4,bin0,bin3,bin4,bin3,bin4,bin4,bin2,bin4,bin0,bin2,bin2,saab
bin2,bin0,bin0,bin1,bin2,bin2,bin0,bin4,bin0,bin0,bin0,bin0,bin0,bin0,bin3,bin1,bin4,bin3,van
bin4,bin4,bin4,bin4,bin4,bin3,bin4,bin0,bin3,bin4,bin3,bin4,bin4,bin1,bin4,bin4,bin2,bin3,saab
bin0,bin1,bin0,bin1,bin2,bin0,bin1,bin3,bin1,bin1,bin1,bin1,bin2,bin4,bin2,bin1,bin0,bin0,saab
bin0,bin0,bin0,bin0,bin0,bin0,bin0,bin4,bin0,bin0,bin0,bin0,bin0,bin4,bin2,bin1,bin0,bin0,van
bin0,bin0,bin0,bin0,bin1,bin0,bin0,bin4,bin0,bin0,bin0,bin0,bin0,bin4,bin4,bin3,bin0,bin0,saab
bin0,bin2,bin0,bin0,bin0,bin0,bin1,bin3,bin1,bin2,bin1,bin1,bin2,bin4,bin1,bin1,bin0,bin0,bus
bin3,bin4,bin4,bin3,bin1,bin3,bin4,bin0,bin3,bin4,bin3,bin4,bin3,bin1,bin0,bin4,bin1,bin2,saab
bin2,bin1,bin0,bin1,bin4,bin2,bin0,bin4,bin0,bin1,bin0,bin0,bin2,bin2,bin2,bin2,bin3,bin3,van
bin1,bin3,bin2,bin0,bin0,bin4,bin2,bin2,bin2,bin4,bin1,bin2,bin3,bin3,bin0,bin2,bin0,bin1,van
bin3,bin0,bin1,bin3,bin4,bin0,bin2,bin1,bin2,bin0,bin2,bin3,bin0,bin2,bin0,bin0,bin4,bin3,bus
bin0,bin2,bin0,bin0,bin0,bin2,bin1,bin3,bin1,bin2,bin1,bin1,bin3,bin4,bin0,bin2,bin0,bin0,bus
bin3,bin4,bin3,bin3,bin1,bin3,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin2,bin2,bin3,bin2,bin2,opel
bin0,bin3,bin1,bin1,bin2,bin1,bin2,bin2,bin1,bin2,bin2,bin2,bin3,bin3,bin2,bin2,bin0,bin1,bus
bin1,bin0,bin2,bin2,bin2,bin2,bin2,bin2,bin1,bin0,bin2,bin2,bin0,bin0,bin2,bin4,bin4,bin4,opel
bin2,bin2,bin1,bin2,bin1,bin1,bin2,bin2,bin2,bin2,bin2,bin2,bin3,bin0,bin3,bin3,bin3,bin3,opel
bin0,bin1,bin0,bin0,bin1,bin1,bin1,bin3,bin1,bin2,bin1,bin1,bin2,bin4,bin3,bin0,bin0,bin0,bus
bin3,bin4,bin4,bin4,bin4,bin4,bin4,bin0,bin3,bin4,bin4,bin4,bin4,bin2,bin0,bin3,bin2,bin3,saab
bin0,bin3,bin1,bin0,bin0,bin2,bin2,bin2,bin2,bin4,bin1,bin2,bin2,bin3,bin0,bin1,bin0,bin1,van
bin2,bin1,bin1,bin0,bin0,bin1,bin0,bin4,bin0,bin1,bin0,bin0,bin1,bin3,bin2,bin3,bin1,bin0,van
bin2,bin0,bin1,bin3,bin4,bin0,bin2,bin2,bin1,bin0,bin2,bin2,bin0,bin2,bin0,bin3,bin4,bin4,bus
bin2,bin0,bin2,bin2,bin1,bin1,bin3,bin1,bin2,bin0,bin3,bin3,bin0,bin0,bin0,bin4,bin3,bin3,saab
bin4,bin4,bin4,bin4,bin3,bin4,bin4,bin0,bin3,bin4,bin4,bin4,bin4,bin2,bin2,bin3,bin2,bin2,opel
bin0,bin0,bin0,bin0,bin1,bin0,bin0,bin4,bin0,bin0,bin0,bin0,bin0,bin1,bin1,bin3,bin1,bin1,saab
bin2,bin0,bin0,bin0,bin0,bin2,bin0,bin4,bin0,bin1,bin0,bin0,bin0,bin4,bin3,bin1,bin1,bin0,van
bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin2,bin2,bin0,bin1,bin2,opel
bin0,bin2,bin2,bin1,bin1,bin4,bin2,bin2,bin2,bin3,bin1,bin2,bin2,bin3,bin2,bin3,bin0,bin1,van
bin2,bin1,bin0,bin2,bin4,bin0,bin0,bin3,bin0,bin1,bin0,bin1,bin2,bin0,bin3,bin1,bin4,bin4,bus
bin2,bin3,bin2,bin2,bin3,bin4,bin2,bin2,bin1,bin3,bin2,bin2,bin2,bin3,bin0,bin1,bin1,bin2,van
bin4,bin3,bin4,bin3,bin0,bin4,bin4,bin0,bin3,bin3,bin4,bin4,bin3,bin2,bin4,bin4,bin3,bin3,saab
bin2,bin0,bin2,bin1,bin0,bin1,bin2,bin2,bin1,bin0,bin2,bin2,bin0,bin0,bin3,bin3,bin3,bin3,saab
bin2,bin1,bin1,bin1,bin0,bin1,bin1,bin2,bin1,bin1,bin1,bin1,bin2,bin0,bin4,bin3,bin4,bin4,opel
bin3,bin3,bin4,bin3,bin2,bin3,bin3,bin1,bin3,bin3,bin3,bin3,bin3,bin2,bin3,bin0,bin2,bin2,saab
bin3,bin4,bin3,bin4,bin3,bin4,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin2,bin2,bin0,bin1,bin2,opel
bin0,bin0,bin0,bin0,bin0,bin0,bin0,bin4,bin0,bin0,bin0,bin0,bin0,bin4,bin1,bin2,bin0,bin0,saab
bin2,bin0,bin3,bin3,bin2,bin2,bin3,bin1,bin3,bin0,bin3,bin3,bin1,bin1,bin0,bin4,bin3,bin2,saab
bin1,bin1,bin0,bin0,bin0,bin0,bin0,bin4,bin0,bin1,bin0,bin0,bin1,bin0,bin3,bin1,bin3,bin3,van
bin1,bin0,bin1,bin1,bin1,bin1,bin0,bin4,bin0,bin0,bin0,bin0,bin0,bin0,bin1,bin3,bin4,bin4,van
bin4,bin3,bin3,bin3,bin2,bin3,bin3,bin1,bin3,bin3,bin3,bin3,bin2,bin0,bin4,bin1,bin4,bin4,saab
bin0,bin2,bin1,bin0,bin0,bin1,bin1,bin3,bin1,bin2,bin1,bin1,bin2,bin4,bin1,bin3,bin0,bin0,bus
bin0,bin1,bin0,bin0,bin0,bin0,bin1,bin3,bin1,bin1,bin2,bin1,bin2,bin4,bin2,bin0,bin0,bin0,bus
bin3,bin2,bin2,bin3,bin2,bin2,bin2,bin2,bin2,bin3,bin2,bin2,bin2,bin0,bin4,bin1,bin4,bin4,saab
bin0,bin0,bin0,bin1,bin2,bin1,bin0,bin4,bin0,bin0,bin0,bin0,bin0,bin0,bin2,bin1,bin4,bin4,van
bin0,bin0,bin0,bin0,bin0,bin0,bin0,bin4,bin0,bin0,bin0,bin0,bin0,bin4,bin0,bin1,bin0,bin0,van
bin0,bin2,bin0,bin1,bin4,bin0,bin1,bin3,bin1,bin2,bin1,bin1,bin3,bin4,bin2,bin0,bin0,bin0,bus
bin2,bin3,bin3,bin3,bin3,bin1,bin3,bin1,bin3,bin3,bin3,bin3,bin4,bin0,bin0,bin0,bin3,bin3,saab
bin2,bin1,bin3,bin1,bin2,bin2,bin1,bin3,bin1,bin3,bin1,bin1,bin0,bin0,bin0,bin4,bin4,bin4,van
bin3,bin2,bin2,bin2,bin2,bin2,bin1,bin3,bin1,bin2,bin0,bin1,bin1,bin0,bin2,bin2,bin4,bin4,van
bin4,bin4,bin4,bin2,bin0,bin2,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin4,bin0,bin3,bin0,bin0,bus
bin1,bin2,bin1,bin2,bin4,bin0,bin1,bin3,bin1,bin1,bin1,bin1,bin2,bin1,bin2,bin0,bin3,bin3,bus
bin0,bin2,bin1,bin0,bin1,bin0,bin1,bin3,bin1,bin2,bin1,bin1,bin3,bin3,bin3,bin0,bin1,bin1,bus
bin0,bin1,bin0,bin0,bin0,bin1,bin0,bin4,bin0,bin1,bin0,bin0,bin1,bin3,bin1,bin0,bin0,bin0,opel
bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin0,bin3,bin4,bin4,bin4,bin4,bin1,bin3,bin4,bin2,bin3,saab
bin2,bin0,bin1,bin3,bin4,bin1,bin2,bin2,bin1,bin0,bin1,bin2,bin0,bin0,bin0,bin1,bin4,bin4,bus
bin3,bin2,bin3,bin3,bin2,bin2,bin3,bin1,bin3,bin2,bin3,bin3,bin1,bin0,bin0,bin0,bin3,bin2,opel
bin0,bin1,bin1,bin1,bin3,bin1,bin1,bin2,bin1,bin1,bin2,bin1,bin1,bin3,bin2,bin2,bin1,bin1,bus
bin0,bin2,bin1,bin0,bin1,bin0,bin1,bin3,bin1,bin2,bin1,bin1,bin3,bin4,bin3,bin2,bin0,bin0,bus
bin4,bin4,bin4,bin4,bin4,bin4,bin4,bin0,bin3,bin4,bin4,bin4,bin4,bin0,bin4,bin4,bin3,bin4,saab
bin1,bin2,bin2,bin0,bin0,bin3,bin2,bin2,bin2,bin3,bin1,bin2,bin2,bin4,bin2,bin3,bin0,bin1,van
bin1,bin3,bin2,bin3,bin3,bin2,bin3,bin1,bin2,bin3,bin2,bin3,bin3,bin0,bin4,bin1,bin3,bin3,saab
bin0,bin1,bin1,bin1,bin3,bin1,bin1,bin3,bin1,bin1,bin1,bin1,bin1,bin2,bin1,bin2,bin2,bin1,bus
bin1,bin1,bin2,bin0,bin0,bin4,bin2,bin2,bin1,bin2,bin2,bin2,bin1,bin2,bin2,bin0,bin1,bin2,van
bin3,bin3,bin4,bin4,bin4,bin3,bin3,bin1,bin3,bin2,bin3,bin3,bin3,bin2,bin2,bin1,bin1,bin1,opel
bin1,bin0,bin0,bin0,bin2,bin0,bin0,bin4,bin0,bin0,bin0,bin0,bin0,bin4,bin4,bin3,bin0,bin0,saab
bin3,bin0,bin0,bin0,bin0,bin1,bin0,bin4,bin0,bin1,bin0,bin0,bin0,bin1,bin1,bin2,bin3,bin1,van
bin1,bin2,bin2,bin4,bin4,bin4,bin2,bin2,bin2,bin3,bin3,bin2,bin2,bin4,bin3,bin3,bin0,bin1,van
bin1,bin1,bin2,bin2,bin3,bin0,bin2,bin2,bin1,bin1,bin2,bin2,bin1,bin3,bin2,bin2,bin2,bin1,bus
bin2,bin0,bin0,bin1,bin1,bin2,bin0,bin4,bin0,bin1,bin0,bin0,bin0,bin0,bin1,bin4,bin3,bin3,van
bin4,bin4,bin4,bin2,bin0,bin0,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin4,bin3,bin2,bin1,bin0,bus
bin1,bin0,bin1,bin2,bin3,bin1,bin1,bin2,bin1,bin0,bin1,bin2,bin0,bin0,bin0,bin0,bin3,bin4,bus
bin3,bin4,bin3,bin4,bin4,bin0,bin3,bin1,bin3,bin3,bin3,bin3,bin4,bin3,bin1,bin1,bin3,bin1,bus
bin0,bin0,bin0,bin0,bin0,bin1,bin0,bin4,bin0,bin0,bin0,bin0,bin0,bin2,bin4,bin1,bin0,bin0,saab
bin2,bin1,bin3,bin3,bin3,bin2,bin3,bin1,bin3,bin1,bin3,bin3,bin1,bin0,bin3,bin4,bin3,bin4,saab
bin3,bin1,bin2,bin2,bin2,bin0,bin3,bin1,bin3,bin1,bin3,bin3,bin0,bin2,bin1,bin3,bin4,bin3,bus
bin4,bin4,bin3,bin3,bin2,bin3,bin4,bin0,bin3,bin4,bin4,bin4,bin4,bin2,bin3,bin3,bin2,bin2,saab
bin2,bin1,bin2,bin2,bin1,bin1,bin1,bin2,bin1,bin1,bin2,bin2,bin2,bin1,bin4,bin0,bin3,bin2,opel
bin2,bin0,bin1,bin3,bin4,bin0,bin2,bin2,bin1,bin0,bin2,bin2,bin0,bin1,bin0,bin2,bin4,bin4,bus
bin1,bin0,bin0,bin1,bin2,bin2,bin0,bin4,bin0,bin0,bin0,bin0,bin0,bin0,bin2,bin3,bin4,bin4,van
bin0,bin2,bin1,bin0,bin1,bin2,bin1,bin3,bin1,bin2,bin1,bin1,bin3,bin4,bin0,bin1,bin0,bin0,bus
bin0,bin2,bin1,bin1,bin2,bin0,bin1,bin2,bin1,bin2,bin1,bin1,bin2,bin2,bin2,bin0,bin2,bin2,bus
bin4,bin3,bin4,bin4,bin2,bin3,bin3,bin0,bin3,bin3,bin4,bin3,bin3,bin1,bin2,bin4,bin2,bin4,saab
bin4,bin4,bin4,bin3,bin1,bin4,bin4,bin0,bin3,bin3,bin3,bin4,bin3,bin0,bin2,bin1,bin2,bin2,opel
bin4,bin3,bin3,bin3,bin1,bin3,bin3,bin1,bin3,bin3,bin3,bin3,bin3,bin0,bin4,bin0,bin4,bin3,opel
bin4,bin3,bin4,bin4,bin2,bin3,bin3,bin0,bin3,bin3,bin4,bin3,bin2,bin0,bin3,bin4,bin3,bin4,opel
bin1,bin3,bin3,bin3,bin2,bin3,bin3,bin1,bin3,bin3,bin3,bin3,bin4,bin1,bin2,bin3,bin3,bin3,saab
bin2,bin2,bin2,bin1,bin0,bin3,bin2,bin2,bin2,bin3,bin2,bin2,bin3,bin3,bin0,bin3,bin1,bin2,van
bin0,bin1,bin1,bin1,bin3,bin1,bin1,bin3,bin1,bin1,bin1,bin1,bin1,bin2,bin2,bin3,bin1,bin1,bus
bin3,bin4,bin4,bin4,bin4,bin2,bin3,bin1,bin3,bin4,bin3,bin3,bin4,bin0,bin4,bin3,bin3,bin3,opel
bin1,bin1,bin0,bin0,bin0,bin1,bin1,bin3,bin1,bin1,bin1,bin1,bin2,bin4,bin0,bin3,bin0,bin0,bus
bin2,bin1,bin0,bin0,bin0,bin1,bin0,bin4,bin0,bin2,bin0,bin0,bin1,bin4,bin3,bin1,bin1,bin0,van
bin2,bin1,bin0,bin0,bin0,bin2,bin0,bin4,bin0,bin2,bin0,bin0,bin1,bin2,bin1,bin2,bin3,bin1,van
bin2,bin2,bin4,bin4,bin3,bin3,bin3,bin1,bin3,bin2,bin3,bin3,bin1,bin0,bin2,bin4,bin4,bin4,saab
bin1,bin0,bin0,bin0,bin0,bin0,bin0,bin4,bin0,bin0,bin0,bin0,bin1,bin4,bin2,bin0,bin0,bin0,van
bin4,bin3,bin3,bin3,bin2,bin0,bin4,bin0,bin4,bin3,bin4,bin4,bin4,bin4,bin2,bin1,bin2,bin0,bus
bin4,bin4,bin3,bin4,bin4,bin3,bin4,bin0,bin4,bin4,bin4,bin4,bin3,bin2,bin0,bin2,bin1,bin3,saab
bin4,bin4,bin4,bin3,bin0,bin0,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin4,bin3,bin3,bin0,bin0,bus
bin1,bin1,bin0,bin0,bin0,bin2,bin1,bin3,bin1,bin1,bin1,bin1,bin2,bin4,bin2,bin0,bin0,bin0,bus
bin3,bin3,bin3,bin4,bin3,bin3,bin3,bin1,bin3,bin3,bin3,bin3,bin4,bin1,bin3,bin0,bin3,bin3,saab
bin2,bin0,bin3,bin2,bin2,bin1,bin3,bin1,bin3,bin0,bin2,bin3,bin0,bin0,bin0,bin4,bin3,bin4,saab
bin0,bin2,bin0,bin0,bin0,bin1,bin1,bin3,bin1,bin2,bin1,bin1,bin3,bin4,bin1,bin0,bin0,bin0,bus
bin4,bin3,bin3,bin4,bin2,bin3,bin3,bin1,bin3,bin3,bin3,bin3,bin2,bin0,bin4,bin3,bin4,bin4,opel
bin1,bin2,bin2,bin0,bin0,bin0,bin1,bin3,bin1,bin2,bin1,bin1,bin2,bin1,bin3,bin2,bin2,bin1,opel
bin2,bin1,bin3,bin2,bin3,bin2,bin1,bin3,bin1,bin2,bin0,bin1,bin0,bin0,bin0,bin3,bin4,bin4,van
bin1,bin0,bin2,bin2,bin1,bin1,bin2,bin2,bin2,bin0,bin2,bin2,bin0,bin1,bin2,bin3,bin3,bin2,saab
bin3,bin2,bin2,bin2,bin2,bin2,bin0,bin3,bin0,bin2,bin0,bin0,bin2,bin0,bin4,bin0,bin4,bin4,van
bin4,bin4,bin3,bin3,bin1,bin2,bin3,bin1,bin3,bin3,bin3,bin3,bin4,bin0,bin3,bin1,bin3,bin3,opel
bin3,bin4,bin4,bin4,bin3,bin4,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin1,bin3,bin4,bin2,bin3,opel
bin0,bin1,bin0,bin0,bin0,bin1,bin1,bin3,bin1,bin1,bin1,bin1,bin2,bin4,bin0,bin1,bin0,bin0,bus
bin4,bin4,bin4,bin3,bin0,bin1,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin3,bin2,bin2,bin1,bin0,bus
bin4,bin4,bin4,bin4,bin2,bin4,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin2,bin2,bin2,bin1,bin3,saab
bin1,bin2,bin2,bin0,bin0,bin3,bin2,bin2,bin2,bin3,bin0,bin2,bin2,bin3,bin4,bin2,bin1,bin1,van
bin3,bin3,bin3,bin3,bin2,bin0,bin3,bin0,bin3,bin3,bin4,bin3,bin4,bin3,bin3,bin4,bin3,bin1,bus
bin3,bin2,bin3,bin2,bin2,bin3,bin1,bin3,bin1,bin2,bin1,bin1,bin2,bin0,bin4,bin3,bin4,bin4,van
bin1,bin1,bin1,bin1,bin3,bin1,bin1,bin2,bin1,bin1,bin2,bin1,bin1,bin2,bin1,bin1,bin2,bin1,bus
bin1,bin1,bin1,bin1,bin2,bin1,bin1,bin3,bin1,bin1,bin2,bin1,bin1,bin2,bin1,bin2,bin3,bin2,bus
bin0,bin1,bin1,bin1,bin2,bin0,bin0,bin4,bin0,bin1,bin0,bin0,bin1,bin2,bin1,bin3,bin0,bin1,opel
bin0,bin0,bin0,bin0,bin2,bin0,bin0,bin4,bin0,bin0,bin0,bin0,bin0,bin4,bin1,bin1,bin0,bin0,saab
bin4,bin4,bin3,bin3,bin1,bin3,bin4,bin0,bin4,bin4,bin4,bin4,bin3,bin2,bin4,bin1,bin2,bin2,opel
bin3,bin4,bin3,bin4,bin4,bin3,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin3,bin3,bin3,bin1,bin2,opel
bin3,bin4,bin4,bin3,bin1,bin1,bin4,bin0,bin4,bin4,bin4,bin4,bin4,bin4,bin2,bin2,bin1,bin0,bus
bin4,bin4,bin4,bin4,bin3,bin4,bin4,bin0,bin3,bin4,bin4,bin4,bin4,bin0,bin4,bin4,bin3,bin4,saab
bin1,bin2,bin2,bin2,bin1,bin0,bin1,bin2,bin1,bin2,bin2,bin2,bin2,bin0,bin3,bin2,bin4,bin4,opel
bin2,bin2,bin2,bin1,bin2,bin3,bin1,bin3,bin1,bin2,bin0,bin1,bin2,bin0,bin3,bin1,bin4,bin4,van
bin1,bin1,bin1,bin1,bin1,bin0,bin0,bin4,bin0,bin1,bin0,bin0,bin1,bin0,bin4,bin1,bin4,bin4,opel
bin3,bin2,bin3,bin4,bin3,bin2,bin3,bin1,bin3,bin3,bin3,bin3,bin2,bin0,bin0,bin4,bin3,bin3,opel
bin1,bin0,bin0,bin0,bin2,bin0,bin1,bin3,bin1,bin0,bin0,bin1,bin1,bin4,bin4,bin0,bin0,bin0,saab
bin2,bin2,bin2,bin1,bin2,bin2,bin1,bin3,bin1,bin3,bin1,bin1,bin3,bin1,bin4,bin2,bin2,bin3,van
bin0,bin3,bin1,bin1,bin3,bin0,bin1,bin2,bin1,bin2,bin1,bin1,bin3,bin3,bin2,bin0,bin0,bin0,bus
bin3,bin3,bin3,bin3,bin2,bin2,bin3,bin1,bin3,bin3,bin3,bin3,bin3,bin0,bin3,bin0,bin3,bin3,saab
bin2,bin1,bin3,bin3,bin2,bin3,bin3,bin1,bin3,bin1,bin3,bin3,bin2,bin1,bin1,bin2,bin2,bin2,opel
bin2,bin2,bin2,bin2,bin4,bin1,bin1,bin2,bin1,bin2,bin1,bin1,bin2,bin1,bin4,bin0,bin3,bin3,bus
bin4,bin3,bin4,bin3,bin1,bin3,bin3,bin0,bin3,bin3,bin4,bin3,bin4,bin1,bin4,bin4,bin3,bin3,saab
bin1,bin2,bin2,bin2,bin2,bin2,bin2,bin2,bin1,bin2,bin2,bin2,bin2,bin1,bin0,bin0,bin2,bin2,opel
bin3,bin3,bin3,bin4,bin2,bin2,bin3,bin1,bin3,bin3,bin3,bin3,bin2,bin0,bin1,bin1,bin4,bin4,opel
bin4,bin4,bin4,bin3,bin0,bin4,bin4,bin0,bin3,bin4,bin4,bin4,bin4,bin2,bin3,bin4,bin2,bin3,saab
bin3,bin2,bin4,bin3,bin2,bin3,bin3,bin1,bin3,bin2,bin3,bin3,bin3,bin0,bin2,bin4,bin3,bin4,saab
bin2,bin3,bin2,bin2,bin1,bin1,bin3,bin1,bin2,bin3,bin3,bin3,bin3,bin0,bin1,bin0,bin3,bin2,saab
bin1,bin3,bin2,bin1,bin1,bin3,bin2,bin2,bin1,bin3,bin2,bin2,bin3,bin3,bin4,bin1,bin1,bin2,van
bin1,bin2,bin2,bin1,bin1,bin1,bin2,bin2,bin1,bin2,bin2,bin2,bin2,bin3,bin4,bin2,bin1,bin1,opel
bin4,bin4,bin4,bin4,bin2,bin4,bin3,bin1,bin3,bin4,bin3,bin3,bin4,bin1,bin4,bin0,bin2,bin3,saab
bin1,bin3,bin2,bin1,bin2,bin3,bin2,bin2,bin1,bin3,bin2,bin2,bin3,bin3,bin0,bin1,bin1,bin2,van
bin0,bin0,bin0,bin0,bin2,bin1,bin0,bin4,bin0,bin0,bin0,bin0,bin0,bin4,bin3,bin4,bin0,bin0,saab
bin0,bin2,bin0,bin1,bin3,bin0,bin1,bin3,bin1,bin1,bin1,bin1,bin2,bin3,bin2,bin0,bin0,bin0,bus
bin1,bin3,bin2,bin1,bin1,bin2,bin2,bin2,bin2,bin2,bin2,bin2,bin3,bin2,bin3,bin3,bin1,bin1,opel
bin3,bin1,bin2,bin2,bin3,bin0,bin3,bin1,bin3,bin0,bin3,bin3,bin1,bin3,bin0,bin0,bin4,bin2,bus
