a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,class
a,bin0,bin4,u,g,d,v,bin1,f,f,bin0,f,g,bin1,bin0,-
b,bin0,bin0,y,p,aa,v,bin1,f,f,bin0,f,g,bin1,bin0,-
b,bin1,bin0,u,g,m,v,bin1,t,f,bin0,t,s,bin4,bin0,-
b,bin0,bin0,y,p,c,h,bin1,f,f,bin0,f,g,bin3,bin0,-
b,bin0,bin4,l,gg,ff,o,bin0,f,f,bin0,t,p,bin4,bin4,+
b,bin0,bin0,y,p,m,bb,bin0,f,f,bin0,t,s,bin4,bin0,+
b,bin3,bin0,y,p,c,v,bin2,f,f,bin0,t,g,bin3,bin0,+
b,bin0,bin1,u,g,w,v,bin2,f,f,bin0,f,g,bin2,bin0,+
a,bin0,bin0,l,gg,cc,ff,bin4,f,f,bin0,t,s,bin3,bin0,+
a,bin3,bin0,u,g,cc,v,bin1,f,f,bin0,f,g,bin3,bin0,+
b,bin4,bin0,y,p,k,v,bin1,t,t,bin0,f,g,bin4,bin0,+
b,bin3,bin1,u,g,w,v,bin2,f,f,bin0,f,g,bin1,bin0,-
a,bin2,bin1,y,p,x,v,bin2,f,f,bin0,f,g,bin3,bin0,-
b,bin2,bin1,y,p,c,v,bin0,f,f,bin0,f,g,bin2,bin0,-
missing,bin4,bin2,u,g,i,bb,bin1,f,f,bin0,f,s,bin4,bin0,-
b,bin3,bin2,y,p,w,v,bin3,f,f,bin0,f,s,bin2,bin0,-
b,missing,bin2,y,p,i,v,bin0,f,f,bin0,t,g,bin4,bin0,-
b,bin0,bin0,missing,missing,missing,missing,bin0,f,f,bin0,f,p,missing,bin0,-
a,bin3,bin2,y,p,c,v,bin3,f,f,bin0,t,g,bin0,bin0,-
b,bin3,bin2,u,g,c,v,bin2,f,f,bin0,f,g,bin4,bin0,-
a,bin1,bin4,u,g,d,v,bin2,f,f,bin0,t,g,bin2,bin0,-
b,bin3,bin2,u,g,cc,bb,bin1,f,f,bin0,f,g,bin4,bin0,-
b,bin2,bin0,u,g,q,h,bin1,f,f,bin0,t,g,bin3,bin0,-
b,bin4,bin3,u,g,c,v,bin2,f,f,bin0,t,g,bin0,bin0,-
a,bin3,bin1,y,p,i,h,bin1,f,f,bin0,t,g,bin2,bin0,-
a,bin3,bin2,y,p,aa,v,bin3,f,f,bin0,f,g,bin2,bin0,-
b,bin2,bin2,u,g,w,v,bin2,f,f,bin0,t,g,bin3,bin0,-
a,bin3,bin2,u,g,c,v,bin3,f,f,bin0,f,g,bin4,bin0,-
b,bin4,bin3,u,g,aa,v,bin0,f,f,bin0,f,g,bin1,bin0,-
b,bin2,bin2,u,g,i,bb,bin1,f,f,bin0,t,g,bin4,bin0,-
b,bin3,bin2,u,g,i,bb,bin0,f,f,bin0,f,g,bin2,bin0,-
b,bin3,bin1,u,g,k,v,bin1,f,f,bin0,t,g,bin3,bin0,-
b,bin4,bin3,u,g,e,z,bin0,f,f,bin0,f,g,bin0,bin0,-
missing,bin3,bin1,u,g,c,v,bin1,f,f,bin0,t,g,bin4,bin0,-
b,bin2,bin3,y,p,c,bb,bin3,f,f,bin0,f,g,bin2,bin0,-
b,bin4,bin0,u,g,c,v,bin2,t,t,bin0,t,g,bin2,bin0,-
b,bin2,bin1,u,g,w,v,bin3,f,t,bin0,t,g,bin1,bin0,-
a,bin2,bin2,u,g,j,j,bin0,f,f,bin0,t,g,bin3,bin0,-
b,bin1,bin0,y,p,ff,ff,bin0,f,f,bin0,f,g,bin1,bin0,-
b,bin1,bin4,y,p,m,v,bin2,f,f,bin0,t,g,bin0,bin0,-
b,bin2,bin1,u,g,d,v,bin2,f,f,bin0,t,s,bin0,bin0,-
b,bin3,bin2,u,g,i,v,bin1,f,f,bin0,t,g,bin3,bin0,-
a,bin0,bin0,u,g,aa,v,bin2,f,t,bin0,t,g,bin4,bin0,-
b,bin4,bin1,u,g,d,v,bin1,f,f,bin0,f,g,bin2,bin0,-
a,bin0,bin0,u,g,q,v,bin0,f,f,bin0,t,g,bin4,bin0,-
b,bin3,bin2,u,g,d,v,bin1,f,f,bin0,t,g,bin1,bin0,-
a,bin3,bin3,u,g,ff,ff,bin0,f,f,bin0,f,g,bin2,bin0,-
a,bin2,bin3,u,g,k,v,bin4,f,f,bin0,t,s,bin1,bin0,-
b,bin1,bin2,u,g,ff,ff,bin0,f,f,bin0,t,g,bin1,bin0,-
b,bin2,bin0,u,g,k,ff,bin0,f,f,bin0,f,g,bin1,bin0,-
b,bin0,bin0,y,p,k,v,bin1,f,f,bin0,f,s,bin2,bin0,-
b,bin1,bin2,u,g,e,dd,bin1,f,t,bin0,f,g,bin4,bin0,-
b,bin4,bin1,u,g,m,v,bin4,f,t,bin0,t,g,bin4,bin0,-
a,bin1,bin3,u,g,aa,v,bin1,f,f,bin0,f,g,bin3,bin0,-
b,bin3,bin1,y,p,m,v,bin1,f,f,bin0,f,s,bin4,bin0,-
a,bin1,bin4,y,p,k,h,bin3,f,f,bin0,t,g,bin0,bin0,-
b,bin0,bin0,y,p,r,n,bin2,f,f,bin0,t,g,bin2,bin0,-
b,bin3,bin2,y,p,w,v,bin4,f,f,bin0,t,g,bin3,bin0,-
b,bin2,bin4,u,g,e,dd,bin0,f,f,bin0,t,g,bin2,bin0,-
a,bin4,bin3,u,g,k,h,bin2,f,f,bin0,t,s,bin3,bin0,-
b,bin2,bin1,u,g,w,v,bin0,f,f,bin0,f,g,bin1,bin0,-
missing,bin2,bin0,u,g,aa,v,bin0,f,f,bin0,f,g,bin3,bin0,-
a,bin0,bin0,y,p,e,dd,bin2,f,f,bin0,f,g,bin3,bin0,-
b,bin2,bin4,u,g,d,v,bin0,f,f,bin0,f,g,bin0,bin0,-
b,bin0,bin1,y,p,c,v,bin3,f,f,bin0,t,s,bin3,bin0,-
b,bin3,bin1,u,g,i,bb,bin0,f,f,bin0,t,g,bin4,bin0,-
b,bin3,bin0,u,g,i,bb,bin4,f,f,bin0,t,s,bin4,bin0,-
b,bin4,bin3,u,g,i,bb,bin3,f,f,bin0,t,g,bin2,bin0,-
a,bin1,bin3,u,g,c,v,bin1,f,f,bin0,f,g,bin2,bin0,-
a,bin1,bin2,y,p,i,bb,bin4,f,f,bin0,f,g,bin2,bin0,-
a,bin4,bin3,y,p,ff,ff,bin4,f,f,bin0,t,g,bin0,bin0,-
b,bin1,bin4,u,g,k,v,bin3,f,f,bin0,t,g,bin1,bin0,-
b,bin3,bin3,y,p,c,v,bin2,f,f,bin0,t,g,bin1,bin0,-
b,bin1,bin1,y,p,aa,v,bin2,f,f,bin0,t,g,bin1,bin0,-
b,bin0,bin0,u,g,c,v,bin1,f,f,bin0,t,s,bin0,bin0,-
b,bin2,bin4,u,g,i,bb,bin0,f,f,bin0,t,g,bin2,bin0,-
b,bin1,bin0,u,g,m,v,bin0,f,f,bin0,f,s,bin0,bin0,-
b,bin0,bin3,u,g,e,v,bin2,f,f,bin0,f,g,bin4,bin0,-
b,bin3,bin3,u,g,i,bb,bin1,f,f,bin0,f,g,bin4,bin0,-
b,bin2,bin4,u,g,aa,bb,bin1,f,f,bin0,t,g,bin4,bin0,-
b,bin1,bin0,u,g,m,v,bin2,f,f,bin0,t,g,bin1,bin0,-
b,bin4,bin1,y,p,w,v,bin1,f,f,bin0,f,g,bin0,bin0,-
a,bin3,bin1,u,g,d,v,bin2,f,f,bin0,t,g,bin0,bin0,-
b,bin2,bin2,y,p,x,h,bin0,f,f,bin0,f,g,bin2,bin0,-
a,bin1,bin0,y,p,ff,ff,bin0,f,f,bin0,f,g,bin1,bin0,-
b,bin2,bin4,y,p,k,h,bin2,f,f,bin0,t,g,bin0,bin0,-
b,bin2,bin2,u,g,c,v,bin0,f,f,bin0,f,g,bin3,bin0,-
b,bin0,bin3,y,p,j,v,bin1,f,f,bin0,f,g,bin2,bin0,-
b,bin2,bin0,u,g,c,v,bin1,f,f,bin0,f,g,bin3,bin0,-
a,bin4,bin3,u,g,i,bb,bin3,f,f,bin0,t,g,bin1,bin0,-
a,bin1,bin0,u,g,q,v,bin2,f,f,bin0,f,s,bin2,bin0,-
b,bin3,bin3,y,p,i,bb,bin2,f,f,bin0,t,g,bin4,bin0,-
a,bin4,bin3,u,g,ff,ff,bin0,f,f,bin0,f,s,bin0,bin0,-
a,bin3,bin3,y,p,k,v,bin1,f,t,bin0,f,g,missing,bin0,-
a,bin0,bin0,y,p,c,v,bin2,f,t,bin0,f,g,bin4,bin0,-
b,bin0,bin2,u,g,w,v,bin0,f,t,bin0,f,g,bin0,bin0,-
b,bin0,bin0,u,g,q,v,bin1,f,t,bin0,f,g,bin2,bin0,-
b,bin2,bin2,u,g,ff,ff,bin0,f,t,bin0,f,g,bin2,bin0,-
b,bin1,bin2,u,g,c,v,bin2,f,t,bin0,f,g,bin0,bin0,-
a,bin1,bin1,u,g,i,v,bin0,f,f,bin0,f,g,bin2,bin0,-
b,bin3,bin1,u,g,i,bb,bin0,f,f,bin0,f,s,bin3,bin0,-
b,bin1,bin0,u,g,k,v,bin0,f,f,bin0,t,g,bin3,bin0,-
a,bin1,bin1,y,p,ff,ff,bin3,f,f,bin0,f,g,bin3,bin0,-
b,bin1,bin0,y,p,k,v,bin0,f,f,bin0,f,g,bin2,bin0,-
b,bin1,bin1,u,g,c,v,bin2,f,f,bin0,t,g,bin2,bin0,-
b,bin3,bin0,u,g,c,v,bin1,f,t,bin0,f,g,bin3,bin0,-
a,bin2,bin2,y,p,ff,ff,bin0,f,f,bin0,t,g,bin2,bin0,-
b,bin3,bin2,u,g,i,v,bin2,f,f,bin0,t,g,bin3,bin0,-
b,bin0,bin1,u,g,q,v,bin2,f,f,bin0,f,g,bin1,bin0,-
b,bin2,bin1,u,g,w,v,bin3,f,f,bin0,f,g,bin2,bin0,-
b,bin2,bin1,u,g,cc,v,bin2,f,f,bin0,f,g,bin1,bin0,-
b,bin3,bin2,u,g,c,v,bin2,f,f,bin0,f,p,bin1,bin0,-
b,bin1,bin1,u,g,c,v,bin1,f,f,bin0,f,g,bin1,bin0,-
a,bin2,bin2,u,g,w,v,bin1,f,f,bin0,t,g,bin2,bin0,-
b,bin3,bin1,u,g,e,v,bin0,f,f,bin0,f,g,bin1,bin0,-
b,bin4,bin2,u,g,ff,ff,bin1,f,f,bin0,f,g,bin2,bin0,-
b,bin3,bin0,y,p,cc,v,bin0,f,f,bin0,f,g,bin2,bin0,-
b,bin4,bin2,y,p,ff,ff,bin2,f,f,bin0,f,g,bin2,bin0,-
b,bin1,bin2,y,p,c,v,bin1,f,f,bin0,f,g,bin2,bin0,-
b,bin1,bin1,u,g,k,v,bin0,f,f,bin0,t,g,bin4,bin0,-
b,bin1,bin1,u,g,aa,v,bin1,f,f,bin0,f,g,bin2,bin0,-
b,bin4,bin2,u,g,c,v,bin3,f,f,bin0,t,g,bin4,bin0,-
b,bin0,bin0,y,p,ff,ff,bin0,f,t,bin0,f,g,bin1,bin0,-
b,bin0,bin0,u,g,ff,ff,bin0,f,t,bin0,f,g,bin4,bin0,-
a,bin4,bin0,u,g,ff,ff,bin0,f,f,bin0,t,s,bin1,bin0,-
a,bin2,bin1,u,g,ff,ff,bin0,f,t,bin0,f,g,bin1,bin0,-
b,bin2,bin1,u,g,k,v,bin1,f,t,bin0,t,g,bin2,bin0,-
b,bin1,bin0,u,g,k,v,bin2,f,t,bin0,f,s,bin0,bin0,-
b,bin3,bin3,u,g,ff,ff,bin0,f,t,bin0,f,g,bin0,bin0,-
b,bin2,bin2,y,p,m,v,bin0,f,f,bin0,t,s,bin1,bin0,-
b,bin0,bin2,u,g,k,v,bin0,f,f,bin0,t,g,bin2,bin0,-
a,bin0,bin0,y,p,j,ff,bin0,f,f,bin0,f,g,bin1,bin0,-
a,missing,bin4,u,g,ff,ff,bin0,f,f,bin0,f,g,missing,bin0,-
b,bin0,bin0,u,g,c,v,bin1,f,f,bin0,f,g,bin2,bin0,-
a,bin2,bin1,u,g,ff,ff,bin0,f,f,bin0,f,g,bin4,bin0,-
b,bin2,bin1,u,g,ff,ff,bin0,f,t,bin0,f,g,bin1,bin0,-
b,bin0,bin3,u,g,c,v,bin1,f,f,bin0,f,g,bin0,bin0,-
b,missing,bin2,y,p,i,bb,bin4,f,f,bin0,f,g,bin0,bin0,-
b,bin3,bin1,u,g,c,v,bin2,f,f,bin0,f,g,bin0,bin0,-
b,bin3,bin3,u,g,q,v,bin3,f,f,bin0,f,g,bin4,bin0,-
missing,bin2,bin0,u,g,w,v,bin1,f,f,bin0,t,g,bin3,bin0,-
b,bin4,bin1,u,g,d,v,bin4,f,f,bin0,t,g,bin0,bin0,-
b,bin3,bin4,u,g,w,v,bin0,f,f,bin0,f,g,bin4,bin0,-
b,bin3,bin0,missing,missing,missing,missing,bin0,f,f,bin0,f,p,missing,bin0,-
b,bin2,bin0,y,p,c,v,bin0,f,f,bin0,f,g,bin3,bin0,-
b,bin3,bin3,u,g,i,bb,bin4,f,f,bin0,f,g,bin3,bin0,-
b,bin2,bin0,y,p,c,v,bin2,f,f,bin0,t,g,bin2,bin0,-
a,bin1,bin2,y,p,c,v,bin0,f,f,bin0,f,g,bin1,bin0,-
b,bin1,bin1,u,g,m,v,bin0,f,t,bin0,f,g,bin3,bin0,-
b,bin1,bin0,u,g,c,v,bin0,f,f,bin0,f,g,bin4,bin0,-
a,bin3,bin0,u,g,ff,ff,bin0,f,t,bin0,f,g,bin2,bin0,-
a,bin1,bin1,u,g,j,j,bin0,f,t,bin0,f,g,bin2,bin0,-
a,bin2,bin2,u,g,m,v,bin3,f,t,bin0,t,g,bin3,bin0,-
b,bin2,bin2,u,g,c,v,bin3,f,t,bin0,t,g,bin2,bin0,-
a,bin2,bin1,u,g,w,h,bin0,f,t,bin0,f,g,bin0,bin0,-
b,bin1,bin2,u,g,k,v,bin2,f,f,bin0,f,g,bin2,bin0,-
b,bin0,bin3,u,g,i,h,bin1,f,f,bin0,t,g,bin1,bin0,-
a,bin1,bin4,u,g,k,h,bin0,f,f,bin0,f,g,bin4,bin0,-
b,bin0,bin3,y,p,i,h,bin0,f,f,bin0,f,g,bin2,bin0,-
b,bin0,bin3,u,g,i,v,bin0,f,f,bin0,f,g,bin1,bin0,-
b,bin0,bin2,y,p,i,v,bin2,f,f,bin0,t,g,bin4,bin0,-
b,bin0,bin0,u,g,c,v,bin0,f,f,bin0,f,g,bin0,bin0,-
b,bin2,bin2,u,g,d,v,bin2,f,f,bin0,t,g,bin1,bin0,-
b,bin1,bin1,u,g,i,h,bin0,f,f,bin0,t,g,bin3,bin0,-
b,bin3,bin2,y,p,i,h,bin4,f,f,bin0,t,s,bin2,bin0,-
b,bin1,bin4,u,g,i,v,bin1,f,f,bin0,f,g,bin0,bin0,-
missing,bin2,bin2,y,p,missing,missing,bin0,f,f,bin0,f,s,bin1,bin0,-
a,bin0,bin0,u,g,i,v,bin1,f,t,bin0,t,g,bin3,bin0,-
b,bin1,bin2,y,p,k,v,bin1,f,t,bin0,t,g,bin3,bin0,-
a,bin0,bin4,u,g,aa,v,bin3,f,t,bin0,t,g,bin0,bin0,-
b,bin1,bin0,y,p,c,v,bin0,f,t,bin0,f,g,bin2,bin0,-
b,bin3,bin1,u,g,m,v,bin2,f,f,bin0,f,s,bin1,bin0,-
b,bin4,bin4,y,p,ff,ff,bin0,f,t,bin0,f,g,bin0,bin0,-
b,bin2,bin0,y,p,k,v,bin0,f,f,bin0,f,g,bin3,bin0,-
b,bin1,bin4,y,p,aa,v,bin0,f,f,bin0,t,g,bin1,bin0,-
b,bin0,bin2,y,p,ff,ff,bin0,f,f,bin0,t,g,bin2,bin0,-
missing,bin4,bin1,u,g,q,v,bin0,f,f,bin0,t,g,bin3,bin0,-
a,bin4,bin0,u,g,q,h,bin3,t,t,bin0,f,g,bin4,bin0,+
b,bin1,bin1,u,g,q,v,bin4,t,t,bin0,t,g,bin4,bin0,+
b,bin3,bin4,u,g,m,v,bin4,t,t,bin1,f,g,bin3,bin0,+
a,bin0,bin4,u,g,c,h,bin4,t,f,bin0,f,g,bin4,bin0,+
a,bin0,bin3,y,p,c,h,bin3,t,f,bin0,f,g,bin3,bin0,+
b,bin0,bin4,u,g,w,v,bin2,t,f,bin0,f,g,bin1,bin0,+
a,bin1,bin1,u,g,x,h,bin2,t,f,bin0,t,g,bin2,bin0,+
b,bin0,bin3,u,g,c,v,bin3,t,t,bin0,t,g,bin1,bin0,+
b,bin2,bin0,u,g,c,v,bin2,t,t,bin0,t,g,bin4,bin0,+
b,bin0,bin3,u,g,c,v,bin3,t,t,bin0,f,g,bin2,bin0,+
b,missing,bin2,u,g,x,v,bin4,t,t,bin0,t,g,bin3,bin0,+
b,bin3,bin3,u,g,cc,v,bin3,t,t,bin0,t,g,bin0,bin0,+
a,bin4,bin0,u,g,ff,ff,bin0,t,t,bin0,f,g,bin3,bin0,+
b,bin2,bin3,u,g,x,v,bin4,t,t,bin0,f,g,bin4,bin0,+
a,bin2,bin2,u,g,c,v,bin2,t,t,bin0,t,g,bin4,bin0,+
b,bin2,bin4,u,g,c,v,bin4,t,t,bin1,f,g,bin0,bin0,+
a,bin0,bin3,u,g,aa,v,bin2,t,t,bin0,f,g,bin1,bin0,+
a,bin1,bin2,u,g,q,h,bin3,t,t,bin1,f,g,bin0,bin0,+
a,bin2,bin4,u,g,c,v,bin3,t,t,bin0,f,g,bin3,bin0,+
b,bin0,bin3,y,p,w,v,bin3,t,t,bin0,t,g,bin1,bin0,+
b,bin0,bin2,y,p,w,v,bin3,t,t,bin0,t,g,bin1,bin0,+
a,bin4,bin2,u,g,j,j,bin0,t,f,bin0,f,g,bin1,bin0,+
a,bin4,bin0,u,g,c,v,bin3,t,f,bin0,f,g,bin0,bin0,+
b,bin0,bin4,u,g,e,dd,bin0,t,f,bin0,f,g,bin0,bin0,+
b,bin1,bin2,y,p,c,h,bin3,t,f,bin0,f,g,bin0,bin0,+
b,missing,bin4,u,g,x,v,bin4,t,f,bin0,f,g,bin0,bin0,+
a,bin4,bin3,u,g,aa,v,bin4,t,t,bin0,f,g,bin0,bin0,+
b,bin0,bin0,u,g,c,v,bin3,t,t,bin0,t,g,bin4,bin0,+
a,bin2,bin0,u,g,q,v,bin2,t,t,bin0,f,g,bin1,bin0,+
b,bin3,bin1,u,g,x,v,bin0,t,t,bin0,t,g,bin4,bin0,+
missing,bin0,bin3,u,g,k,v,bin2,t,t,bin0,f,g,bin2,bin0,+
a,bin2,bin3,u,g,e,dd,bin3,t,t,bin0,t,g,bin1,bin0,+
b,bin1,bin2,u,g,m,v,bin2,t,t,bin0,f,g,bin3,bin0,+
a,bin1,bin3,u,g,q,v,bin3,t,t,bin0,f,g,bin1,bin0,-
a,bin2,bin1,u,g,q,v,bin3,t,f,bin0,t,g,bin4,bin0,-
b,bin4,bin1,u,g,c,v,bin3,t,f,bin0,t,g,bin2,bin0,-
b,bin4,bin1,u,g,k,v,bin1,t,f,bin0,f,g,bin2,bin0,-
a,bin4,bin0,u,g,i,bb,bin2,t,f,bin0,t,g,bin3,bin0,-
a,bin4,bin3,u,g,k,h,bin4,t,t,bin0,t,g,bin1,bin0,-
b,bin4,bin4,u,g,q,h,bin1,t,t,bin0,f,g,bin4,bin0,-
a,bin1,bin2,u,g,c,h,bin3,t,f,bin0,t,g,bin4,bin0,-
a,bin1,bin0,u,g,aa,h,bin3,t,f,bin0,f,g,bin4,bin0,-
b,bin4,bin2,u,g,i,bb,bin2,t,f,bin0,f,g,bin4,bin0,-
b,bin4,bin1,u,g,ff,ff,bin0,t,f,bin0,f,g,bin2,bin0,-
b,bin2,bin2,u,g,aa,v,bin4,t,f,bin0,t,g,bin4,bin0,-
a,bin3,bin1,y,p,ff,ff,bin0,t,f,bin0,f,g,bin4,bin0,-
a,bin1,bin1,u,g,ff,ff,bin0,t,f,bin0,f,g,bin1,bin0,-
b,bin3,bin2,u,g,x,h,bin4,t,f,bin0,t,g,bin4,bin0,-
b,bin3,bin1,u,g,w,bb,bin1,t,f,bin0,t,g,bin2,bin0,-
b,bin4,bin3,u,g,missing,missing,bin2,t,f,bin0,f,g,bin0,bin0,-
b,bin0,bin1,y,p,cc,v,bin3,t,f,bin0,t,g,bin1,bin0,-
b,bin4,bin2,u,g,i,bb,bin2,t,f,bin0,f,g,bin0,bin0,-
b,bin0,bin4,y,p,k,h,bin2,t,f,bin0,t,g,bin2,bin0,-
b,bin3,bin2,u,g,w,v,bin2,t,f,bin0,t,g,bin2,bin0,-
b,bin2,bin1,y,p,i,bb,bin1,t,t,bin0,t,g,bin2,bin0,-
b,bin4,bin4,y,p,d,v,bin2,t,f,bin0,f,s,bin0,bin0,-
b,bin1,bin0,y,p,w,v,bin3,t,t,bin0,t,g,bin3,bin0,-
b,bin1,bin1,u,g,d,h,bin3,t,t,bin0,f,g,bin2,bin0,+
b,bin3,bin1,u,g,x,v,bin2,t,t,bin0,t,g,bin4,bin0,+
b,bin4,bin4,u,g,m,v,bin4,t,f,bin0,f,s,bin1,bin0,+
b,bin4,bin4,u,g,e,z,bin4,t,t,bin0,t,g,bin0,bin0,+
b,bin4,bin4,u,g,i,bb,bin0,t,t,bin0,f,g,bin0,bin0,+
b,bin3,bin4,u,g,r,n,bin4,t,t,bin0,t,g,bin0,bin0,+
b,bin3,bin2,u,g,w,v,bin4,t,t,bin1,f,g,bin4,bin0,+
a,bin1,bin4,y,p,x,h,bin2,t,t,bin0,f,g,bin0,bin0,+
b,bin4,bin0,u,g,c,h,bin1,t,t,bin0,f,g,bin3,bin0,+
b,bin2,bin3,u,g,w,v,bin4,t,t,bin0,t,g,bin4,bin0,+
a,bin3,bin1,u,g,w,v,bin2,t,t,bin1,f,g,bin1,bin0,+
b,bin4,bin0,u,g,x,h,bin0,t,f,bin0,f,g,bin0,bin0,+
a,bin1,bin2,u,g,q,h,bin3,t,t,bin0,t,g,bin2,bin0,+
a,bin1,bin4,u,g,cc,h,bin3,t,t,bin0,f,g,bin4,bin0,+
b,bin2,bin1,u,g,x,h,bin2,t,f,bin0,f,g,bin0,bin0,+
b,bin1,bin1,u,g,c,h,bin2,t,f,bin0,f,g,bin4,bin0,+
b,bin1,bin4,u,g,q,h,bin3,t,f,bin0,t,g,bin1,bin0,+
b,bin4,bin3,u,g,q,h,bin4,t,f,bin0,t,g,bin1,bin0,+
a,bin0,bin2,u,g,aa,v,bin0,t,f,bin0,f,g,bin1,bin0,+
b,bin1,bin4,u,g,w,h,bin3,t,t,bin0,t,g,bin3,bin0,+
a,bin1,bin2,u,g,x,h,bin2,t,f,bin0,f,g,bin4,bin0,+
b,bin4,bin0,y,p,c,v,bin1,t,t,bin0,t,g,bin3,bin0,+
a,bin3,bin1,u,g,aa,v,bin2,t,t,bin0,f,g,bin0,bin0,+
b,bin4,bin2,u,g,w,v,bin3,t,t,bin0,t,g,bin1,bin0,+
b,bin0,bin2,y,p,d,v,bin2,t,t,bin0,t,g,bin2,bin0,+
b,bin1,bin0,y,p,x,v,bin0,t,t,bin0,t,g,bin4,bin0,+
a,bin4,bin4,u,g,ff,ff,bin0,t,t,bin0,t,g,bin0,bin0,+
a,bin0,bin4,u,g,c,h,bin2,t,t,bin0,f,g,bin1,bin0,+
b,bin3,bin0,y,p,c,h,bin3,t,t,bin0,t,g,bin4,bin0,+
b,bin2,bin0,u,g,c,v,bin3,t,t,bin0,f,g,bin1,bin0,+
b,bin1,bin3,u,g,c,v,bin2,t,t,bin0,f,g,bin0,bin0,+
b,bin3,bin1,u,g,c,v,bin2,t,t,bin0,f,g,bin2,bin0,+
b,bin3,bin3,u,g,m,v,bin2,t,t,bin0,t,g,bin1,bin0,+
b,bin2,bin1,u,g,x,v,bin2,t,t,bin0,t,g,bin4,bin0,+
b,bin4,bin0,u,g,e,v,bin0,f,t,bin0,f,s,bin4,bin0,+
b,bin4,bin3,u,g,m,v,bin0,t,f,bin0,t,g,bin3,bin0,+
b,bin3,bin3,y,p,w,h,bin4,t,f,bin0,t,g,bin2,bin0,+
a,bin2,bin4,y,p,e,z,bin0,t,f,bin0,f,g,bin0,bin0,+
b,bin4,bin4,u,g,ff,ff,bin0,t,f,bin0,t,g,bin0,bin0,+
b,bin4,bin4,u,g,x,h,bin4,t,t,bin0,t,g,bin0,bin0,+
b,bin4,bin4,u,g,c,v,bin4,t,t,bin0,f,g,bin0,bin0,+
b,bin2,bin1,y,p,c,v,bin2,t,t,bin0,t,g,bin2,bin0,+
b,bin1,bin0,u,g,c,v,bin1,t,t,bin0,t,g,bin1,bin0,+
b,bin2,bin3,u,g,cc,v,bin3,t,t,bin0,f,g,bin4,bin0,+
b,bin2,bin0,u,g,c,h,bin4,t,t,bin0,t,g,bin4,bin0,+
b,bin1,bin0,missing,missing,missing,missing,bin0,f,f,bin0,f,p,missing,bin0,+
b,bin3,bin3,u,g,w,v,bin0,f,f,bin0,t,g,bin3,bin0,+
b,bin3,bin0,u,g,k,v,bin0,t,f,bin0,t,g,bin3,bin0,+
b,bin2,bin0,u,g,c,bb,bin1,t,f,bin0,f,g,bin4,bin0,+
a,bin4,bin2,u,g,c,v,bin3,t,t,bin0,t,g,bin4,bin0,+
a,bin0,bin3,u,g,aa,v,bin3,t,t,bin0,f,g,bin1,bin0,+
missing,bin0,bin0,u,g,q,v,bin2,f,t,bin0,f,g,bin3,bin0,+
b,bin0,bin2,u,g,c,v,bin3,t,t,bin0,t,g,bin2,bin0,+
a,bin2,bin0,u,g,k,v,bin2,t,t,bin0,f,g,bin4,bin0,+
missing,bin4,bin1,y,p,missing,missing,bin0,f,f,bin0,t,g,bin2,bin0,-
b,bin2,bin1,y,p,k,v,bin1,f,f,bin0,f,g,bin3,bin0,-
b,bin0,bin0,u,g,q,v,bin0,f,f,bin0,f,g,bin2,bin0,-
b,bin1,bin0,u,g,c,h,bin0,t,f,bin0,f,g,bin2,bin0,-
a,bin2,bin1,y,p,k,v,bin2,f,f,bin0,t,g,bin3,bin0,-
b,bin0,bin0,u,g,c,v,bin0,f,f,bin0,f,g,bin0,bin0,+
b,bin3,bin2,u,g,k,v,bin1,f,f,bin0,t,g,bin3,bin0,-
b,missing,bin0,y,p,d,v,bin4,f,f,bin0,t,g,bin4,bin0,-
b,bin4,bin3,u,g,x,bb,bin0,f,f,bin0,t,g,bin4,bin0,-
b,bin0,bin1,y,p,k,v,bin0,f,f,bin0,f,g,bin2,bin0,-
b,bin2,bin2,y,p,q,h,bin4,f,t,bin0,t,g,bin4,bin0,-
b,bin1,bin1,u,g,w,v,bin1,f,t,bin0,f,g,bin4,bin0,-
b,bin0,bin4,u,g,c,bb,bin2,f,t,bin0,t,g,bin2,bin0,-
a,bin3,bin3,u,g,c,v,bin0,f,f,bin0,f,g,bin2,bin0,-
b,bin2,bin1,u,g,c,h,bin1,f,t,bin0,t,g,bin4,bin0,-
b,bin1,bin0,u,g,i,v,bin3,f,t,bin0,t,g,bin4,bin0,-
b,bin3,bin4,y,p,ff,ff,bin0,f,t,bin0,f,g,bin2,bin0,-
b,bin2,bin3,u,g,m,v,bin3,f,t,bin0,t,g,bin4,bin0,-
b,bin0,bin4,y,p,aa,v,bin0,t,f,bin0,f,g,bin1,bin0,-
b,bin1,bin2,u,g,i,v,bin0,f,f,bin0,f,g,bin2,bin0,-
b,bin1,bin0,u,g,c,j,bin3,f,f,bin0,t,s,bin0,bin0,+
a,bin2,bin0,missing,missing,missing,missing,bin0,f,f,bin0,f,p,missing,bin0,+
b,bin0,bin0,u,g,q,v,bin2,f,f,bin0,f,g,bin2,bin0,-
b,bin0,bin1,y,p,cc,v,bin2,f,f,bin0,f,g,bin2,bin0,-
b,bin1,bin4,u,g,c,v,bin3,f,f,bin0,f,s,bin1,bin0,-
